f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119
0.709760,0.055483,0.048871,-0.700552,0.724593,0.006692,-0.002532,-0.689140,0.724622,0.001700,0.002216,-0.689141,0.759412,0.001813,0.002125,-0.650604,0.757138,0.050336,0.058763,-0.648656,0.759386,-0.005712,-0.006659,-0.650581,0.759353,0.009080,-0.019330,-0.650328,0.698555,0.006805,0.001485,-0.715522,0.698553,0.007089,0.001195,-0.715523,0.613524,0.006909,0.001985,-0.789643,0.611079,0.074824,0.054765,-0.786121,0.613470,-0.006454,-0.008397,-0.789647,0.613268,-0.017010,0.005194,-0.789675,0.674278,0.053000,0.051553,-0.734767,0.674231,0.053670,0.052167,-0.734718,0.668653,0.101836,-0.000604,-0.736568,0.501405,0.099748,0.020523,-0.859199,0.424735,0.513994,0.267262,-0.695688,0.406349,0.528649,0.242568,-0.704678,0.434854,0.538136,0.220725,-0.687453,0.437590,0.529467,0.215250,-0.694152,0.671917,0.080074,0.076396,-0.732311,0.674514,0.053988,0.104703,-0.728802,0.762282,0.066951,0.096929,-0.636434,0.603859,0.384770,0.475209,-0.511354,0.609083,0.376446,0.482182,-0.504784,0.579090,0.348135,0.503004,-0.538928,0.603727,0.320506,0.473151,-0.555804,0.674278,0.053000,0.051553,-0.734767,0.674278,0.053000,0.051553,-0.734767
0.709760,0.055483,0.048871,-0.700552,0.724593,0.006692,-0.002532,-0.689140,0.724622,0.001700,0.002216,-0.689141,0.759412,0.001813,0.002125,-0.650604,0.757138,0.050336,0.058763,-0.648656,0.759386,-0.005712,-0.006659,-0.650581,0.759353,0.009080,-0.019330,-0.650328,0.698555,0.006805,0.001485,-0.715522,0.698553,0.007089,0.001195,-0.715523,0.613524,0.006909,0.001985,-0.789643,0.611079,0.074824,0.054765,-0.786121,0.613470,-0.006454,-0.008397,-0.789647,0.613268,-0.017010,0.005194,-0.789675,0.674278,0.053000,0.051553,-0.734767,0.674231,0.053670,0.052167,-0.734718,0.668653,0.101836,-0.000604,-0.736568,0.501405,0.099748,0.020523,-0.859199,0.424735,0.513994,0.267262,-0.695688,0.406349,0.528649,0.242568,-0.704678,0.434854,0.538136,0.220725,-0.687453,0.437590,0.529467,0.215250,-0.694152,0.671917,0.080074,0.076396,-0.732311,0.674514,0.053988,0.104703,-0.728802,0.762282,0.066951,0.096929,-0.636434,0.603859,0.384770,0.475209,-0.511354,0.609083,0.376446,0.482182,-0.504784,0.579090,0.348135,0.503004,-0.538928,0.603727,0.320506,0.473151,-0.555804,0.674278,0.053000,0.051553,-0.734767,0.674278,0.053000,0.051553,-0.734767
0.709760,0.055483,0.048871,-0.700552,0.724593,0.006692,-0.002532,-0.689140,0.724622,0.001700,0.002216,-0.689141,0.759412,0.001813,0.002125,-0.650604,0.757138,0.050336,0.058763,-0.648656,0.759386,-0.005712,-0.006659,-0.650581,0.759353,0.009080,-0.019330,-0.650328,0.698555,0.006805,0.001485,-0.715522,0.698553,0.007089,0.001195,-0.715523,0.613524,0.006909,0.001985,-0.789643,0.611079,0.074824,0.054765,-0.786121,0.613470,-0.006454,-0.008397,-0.789647,0.613268,-0.017010,0.005194,-0.789675,0.674278,0.053000,0.051553,-0.734767,0.674231,0.053670,0.052167,-0.734718,0.668653,0.101836,-0.000604,-0.736568,0.501405,0.099748,0.020523,-0.859199,0.424735,0.513994,0.267262,-0.695688,0.406349,0.528649,0.242568,-0.704678,0.434854,0.538136,0.220725,-0.687453,0.437590,0.529467,0.215250,-0.694152,0.671917,0.080074,0.076396,-0.732311,0.674514,0.053988,0.104703,-0.728802,0.762282,0.066951,0.096929,-0.636434,0.603859,0.384770,0.475209,-0.511354,0.609083,0.376446,0.482182,-0.504784,0.579090,0.348135,0.503004,-0.538928,0.603727,0.320506,0.473151,-0.555804,0.674278,0.053000,0.051553,-0.734767,0.674278,0.053000,0.051553,-0.734767
0.709760,0.055483,0.048871,-0.700552,0.724593,0.006692,-0.002532,-0.689140,0.724622,0.001700,0.002216,-0.689141,0.759412,0.001813,0.002125,-0.650604,0.757138,0.050336,0.058763,-0.648656,0.759386,-0.005712,-0.006659,-0.650581,0.759353,0.009080,-0.019330,-0.650328,0.698555,0.006805,0.001485,-0.715522,0.698553,0.007089,0.001195,-0.715523,0.613524,0.006909,0.001985,-0.789643,0.611079,0.074824,0.054765,-0.786121,0.613470,-0.006454,-0.008397,-0.789647,0.613268,-0.017010,0.005194,-0.789675,0.674278,0.053000,0.051553,-0.734767,0.674231,0.053670,0.052167,-0.734718,0.668653,0.101836,-0.000604,-0.736568,0.501405,0.099748,0.020523,-0.859199,0.424735,0.513994,0.267262,-0.695688,0.406349,0.528649,0.242568,-0.704678,0.434854,0.538136,0.220725,-0.687453,0.437590,0.529467,0.215250,-0.694152,0.671917,0.080074,0.076396,-0.732311,0.674514,0.053988,0.104703,-0.728802,0.762282,0.066951,0.096929,-0.636434,0.603859,0.384770,0.475209,-0.511354,0.609083,0.376446,0.482182,-0.504784,0.579090,0.348135,0.503004,-0.538928,0.603727,0.320506,0.473151,-0.555804,0.674278,0.053000,0.051553,-0.734767,0.674278,0.053000,0.051553,-0.734767
0.709760,0.055483,0.048871,-0.700552,0.724593,0.006692,-0.002532,-0.689140,0.724622,0.001700,0.002216,-0.689141,0.759412,0.001813,0.002125,-0.650604,0.757138,0.050336,0.058763,-0.648656,0.759386,-0.005712,-0.006659,-0.650581,0.759353,0.009080,-0.019330,-0.650328,0.698555,0.006805,0.001485,-0.715522,0.698553,0.007089,0.001195,-0.715523,0.613524,0.006909,0.001985,-0.789643,0.611079,0.074824,0.054765,-0.786121,0.613470,-0.006454,-0.008397,-0.789647,0.613268,-0.017010,0.005194,-0.789675,0.674278,0.053000,0.051553,-0.734767,0.674231,0.053670,0.052167,-0.734718,0.668653,0.101836,-0.000604,-0.736568,0.501405,0.099748,0.020523,-0.859199,0.424735,0.513994,0.267262,-0.695688,0.406349,0.528649,0.242568,-0.704678,0.434854,0.538136,0.220725,-0.687453,0.437590,0.529467,0.215250,-0.694152,0.671917,0.080074,0.076396,-0.732311,0.674514,0.053988,0.104703,-0.728802,0.762282,0.066951,0.096929,-0.636434,0.603859,0.384770,0.475209,-0.511354,0.609083,0.376446,0.482182,-0.504784,0.579090,0.348135,0.503004,-0.538928,0.603727,0.320506,0.473151,-0.555804,0.674278,0.053000,0.051553,-0.734767,0.674278,0.053000,0.051553,-0.734767
0.709760,0.055483,0.048871,-0.700552,0.724593,0.006692,-0.002532,-0.689140,0.724622,0.001700,0.002216,-0.689141,0.759412,0.001813,0.002125,-0.650604,0.757138,0.050336,0.058763,-0.648656,0.759386,-0.005712,-0.006659,-0.650581,0.759353,0.009080,-0.019330,-0.650328,0.698555,0.006805,0.001485,-0.715522,0.698553,0.007089,0.001195,-0.715523,0.613524,0.006909,0.001985,-0.789643,0.611079,0.074824,0.054765,-0.786121,0.613470,-0.006454,-0.008397,-0.789647,0.613268,-0.017010,0.005194,-0.789675,0.674278,0.053000,0.051553,-0.734767,0.674231,0.053670,0.052167,-0.734718,0.668653,0.101836,-0.000604,-0.736568,0.501405,0.099748,0.020523,-0.859199,0.424735,0.513994,0.267262,-0.695688,0.406349,0.528649,0.242568,-0.704678,0.434854,0.538136,0.220725,-0.687453,0.437590,0.529467,0.215250,-0.694152,0.671917,0.080074,0.076396,-0.732311,0.674514,0.053988,0.104703,-0.728802,0.762282,0.066951,0.096929,-0.636434,0.603859,0.384770,0.475209,-0.511354,0.609083,0.376446,0.482182,-0.504784,0.579090,0.348135,0.503004,-0.538928,0.603727,0.320506,0.473151,-0.555804,0.674278,0.053000,0.051553,-0.734767,0.674278,0.053000,0.051553,-0.734767
0.709760,0.055483,0.048871,-0.700552,0.724593,0.006692,-0.002532,-0.689140,0.724622,0.001700,0.002216,-0.689141,0.759412,0.001813,0.002125,-0.650604,0.757138,0.050336,0.058763,-0.648656,0.759386,-0.005712,-0.006659,-0.650581,0.759353,0.009080,-0.019330,-0.650328,0.698555,0.006805,0.001485,-0.715522,0.698553,0.007089,0.001195,-0.715523,0.613524,0.006909,0.001985,-0.789643,0.611079,0.074824,0.054765,-0.786121,0.613470,-0.006454,-0.008397,-0.789647,0.613268,-0.017010,0.005194,-0.789675,0.674278,0.053000,0.051553,-0.734767,0.674231,0.053670,0.052167,-0.734718,0.668653,0.101836,-0.000604,-0.736568,0.501405,0.099748,0.020523,-0.859199,0.424735,0.513994,0.267262,-0.695688,0.406349,0.528649,0.242568,-0.704678,0.434854,0.538136,0.220725,-0.687453,0.437590,0.529467,0.215250,-0.694152,0.671917,0.080074,0.076396,-0.732311,0.674514,0.053988,0.104703,-0.728802,0.762282,0.066951,0.096929,-0.636434,0.603859,0.384770,0.475209,-0.511354,0.609083,0.376446,0.482182,-0.504784,0.579090,0.348135,0.503004,-0.538928,0.603727,0.320506,0.473151,-0.555804,0.674278,0.053000,0.051553,-0.734767,0.674278,0.053000,0.051553,-0.734767
0.709760,0.055483,0.048871,-0.700552,0.724593,0.006692,-0.002532,-0.689140,0.724622,0.001700,0.002216,-0.689141,0.759412,0.001813,0.002125,-0.650604,0.757138,0.050336,0.058763,-0.648656,0.759386,-0.005712,-0.006659,-0.650581,0.759353,0.009080,-0.019330,-0.650328,0.698555,0.006805,0.001485,-0.715522,0.698553,0.007089,0.001195,-0.715523,0.613524,0.006909,0.001985,-0.789643,0.611079,0.074824,0.054765,-0.786121,0.613470,-0.006454,-0.008397,-0.789647,0.613268,-0.017010,0.005194,-0.789675,0.674278,0.053000,0.051553,-0.734767,0.674231,0.053670,0.052167,-0.734718,0.668653,0.101836,-0.000604,-0.736568,0.501405,0.099748,0.020523,-0.859199,0.424735,0.513994,0.267262,-0.695688,0.406349,0.528649,0.242568,-0.704678,0.434854,0.538136,0.220725,-0.687453,0.437590,0.529467,0.215250,-0.694152,0.671917,0.080074,0.076396,-0.732311,0.674514,0.053988,0.104703,-0.728802,0.762282,0.066951,0.096929,-0.636434,0.603859,0.384770,0.475209,-0.511354,0.609083,0.376446,0.482182,-0.504784,0.579090,0.348135,0.503004,-0.538928,0.603727,0.320506,0.473151,-0.555804,0.674278,0.053000,0.051553,-0.734767,0.674278,0.053000,0.051553,-0.734767
0.709760,0.055483,0.048871,-0.700552,0.724593,0.006692,-0.002532,-0.689140,0.724622,0.001700,0.002216,-0.689141,0.759412,0.001813,0.002125,-0.650604,0.757138,0.050336,0.058763,-0.648656,0.759386,-0.005712,-0.006659,-0.650581,0.759353,0.009080,-0.019330,-0.650328,0.698555,0.006805,0.001485,-0.715522,0.698553,0.007089,0.001195,-0.715523,0.613524,0.006909,0.001985,-0.789643,0.611079,0.074824,0.054765,-0.786121,0.613470,-0.006454,-0.008397,-0.789647,0.613268,-0.017010,0.005194,-0.789675,0.674278,0.053000,0.051553,-0.734767,0.674231,0.053670,0.052167,-0.734718,0.668653,0.101836,-0.000604,-0.736568,0.501405,0.099748,0.020523,-0.859199,0.424735,0.513994,0.267262,-0.695688,0.406349,0.528649,0.242568,-0.704678,0.434854,0.538136,0.220725,-0.687453,0.437590,0.529467,0.215250,-0.694152,0.671917,0.080074,0.076396,-0.732311,0.674514,0.053988,0.104703,-0.728802,0.762282,0.066951,0.096929,-0.636434,0.603859,0.384770,0.475209,-0.511354,0.609083,0.376446,0.482182,-0.504784,0.579090,0.348135,0.503004,-0.538928,0.603727,0.320506,0.473151,-0.555804,0.674278,0.053000,0.051553,-0.734767,0.674278,0.053000,0.051553,-0.734767
0.709760,0.055483,0.048871,-0.700552,0.724593,0.006692,-0.002532,-0.689140,0.724622,0.001700,0.002216,-0.689141,0.759412,0.001813,0.002125,-0.650604,0.757138,0.050336,0.058763,-0.648656,0.759386,-0.005712,-0.006659,-0.650581,0.759353,0.009080,-0.019330,-0.650328,0.698555,0.006805,0.001485,-0.715522,0.698553,0.007089,0.001195,-0.715523,0.613524,0.006909,0.001985,-0.789643,0.611079,0.074824,0.054765,-0.786121,0.613470,-0.006454,-0.008397,-0.789647,0.613268,-0.017010,0.005194,-0.789675,0.674278,0.053000,0.051553,-0.734767,0.674231,0.053670,0.052167,-0.734718,0.668653,0.101836,-0.000604,-0.736568,0.501405,0.099748,0.020523,-0.859199,0.424735,0.513994,0.267262,-0.695688,0.406349,0.528649,0.242568,-0.704678,0.434854,0.538136,0.220725,-0.687453,0.437590,0.529467,0.215250,-0.694152,0.671917,0.080074,0.076396,-0.732311,0.674514,0.053988,0.104703,-0.728802,0.762282,0.066951,0.096929,-0.636434,0.603859,0.384770,0.475209,-0.511354,0.609083,0.376446,0.482182,-0.504784,0.579090,0.348135,0.503004,-0.538928,0.603727,0.320506,0.473151,-0.555804,0.674278,0.053000,0.051553,-0.734767,0.674278,0.053000,0.051553,-0.734767
0.709760,0.055483,0.048871,-0.700552,0.724593,0.006692,-0.002532,-0.689140,0.724622,0.001700,0.002216,-0.689141,0.759412,0.001813,0.002125,-0.650604,0.757138,0.050336,0.058763,-0.648656,0.759386,-0.005712,-0.006659,-0.650581,0.759353,0.009080,-0.019330,-0.650328,0.698555,0.006805,0.001485,-0.715522,0.698553,0.007089,0.001195,-0.715523,0.613524,0.006909,0.001985,-0.789643,0.611079,0.074824,0.054765,-0.786121,0.613470,-0.006454,-0.008397,-0.789647,0.613268,-0.017010,0.005194,-0.789675,0.674278,0.053000,0.051553,-0.734767,0.674231,0.053670,0.052167,-0.734718,0.668653,0.101836,-0.000604,-0.736568,0.501405,0.099748,0.020523,-0.859199,0.424735,0.513994,0.267262,-0.695688,0.406349,0.528649,0.242568,-0.704678,0.434854,0.538136,0.220725,-0.687453,0.437590,0.529467,0.215250,-0.694152,0.671917,0.080074,0.076396,-0.732311,0.674514,0.053988,0.104703,-0.728802,0.762282,0.066951,0.096929,-0.636434,0.603859,0.384770,0.475209,-0.511354,0.609083,0.376446,0.482182,-0.504784,0.579090,0.348135,0.503004,-0.538928,0.603727,0.320506,0.473151,-0.555804,0.674278,0.053000,0.051553,-0.734767,0.674278,0.053000,0.051553,-0.734767
0.709760,0.055483,0.048871,-0.700552,0.724593,0.006692,-0.002532,-0.689140,0.724622,0.001700,0.002216,-0.689141,0.759412,0.001813,0.002125,-0.650604,0.757138,0.050336,0.058763,-0.648656,0.759386,-0.005712,-0.006659,-0.650581,0.759353,0.009080,-0.019330,-0.650328,0.698555,0.006805,0.001485,-0.715522,0.698553,0.007089,0.001195,-0.715523,0.613524,0.006909,0.001985,-0.789643,0.611079,0.074824,0.054765,-0.786121,0.613470,-0.006454,-0.008397,-0.789647,0.613268,-0.017010,0.005194,-0.789675,0.674278,0.053000,0.051553,-0.734767,0.674231,0.053670,0.052167,-0.734718,0.668653,0.101836,-0.000604,-0.736568,0.501405,0.099748,0.020523,-0.859199,0.424735,0.513994,0.267262,-0.695688,0.406349,0.528649,0.242568,-0.704678,0.434854,0.538136,0.220725,-0.687453,0.437590,0.529467,0.215250,-0.694152,0.671917,0.080074,0.076396,-0.732311,0.674514,0.053988,0.104703,-0.728802,0.762282,0.066951,0.096929,-0.636434,0.603859,0.384770,0.475209,-0.511354,0.609083,0.376446,0.482182,-0.504784,0.579090,0.348135,0.503004,-0.538928,0.603727,0.320506,0.473151,-0.555804,0.674278,0.053000,0.051553,-0.734767,0.674278,0.053000,0.051553,-0.734767
0.709760,0.055483,0.048871,-0.700552,0.724593,0.006692,-0.002532,-0.689140,0.724622,0.001700,0.002216,-0.689141,0.759412,0.001813,0.002125,-0.650604,0.757138,0.050336,0.058763,-0.648656,0.759386,-0.005712,-0.006659,-0.650581,0.759353,0.009080,-0.019330,-0.650328,0.698555,0.006805,0.001485,-0.715522,0.698553,0.007089,0.001195,-0.715523,0.613524,0.006909,0.001985,-0.789643,0.611079,0.074824,0.054765,-0.786121,0.613470,-0.006454,-0.008397,-0.789647,0.613268,-0.017010,0.005194,-0.789675,0.674278,0.053000,0.051553,-0.734767,0.674231,0.053670,0.052167,-0.734718,0.668653,0.101836,-0.000604,-0.736568,0.501405,0.099748,0.020523,-0.859199,0.424735,0.513994,0.267262,-0.695688,0.406349,0.528649,0.242568,-0.704678,0.434854,0.538136,0.220725,-0.687453,0.437590,0.529467,0.215250,-0.694152,0.671917,0.080074,0.076396,-0.732311,0.674514,0.053988,0.104703,-0.728802,0.762282,0.066951,0.096929,-0.636434,0.603859,0.384770,0.475209,-0.511354,0.609083,0.376446,0.482182,-0.504784,0.579090,0.348135,0.503004,-0.538928,0.603727,0.320506,0.473151,-0.555804,0.674278,0.053000,0.051553,-0.734767,0.674278,0.053000,0.051553,-0.734767
0.709760,0.055483,0.048871,-0.700552,0.724593,0.006692,-0.002532,-0.689140,0.724622,0.001700,0.002216,-0.689141,0.759412,0.001813,0.002125,-0.650604,0.757138,0.050336,0.058763,-0.648656,0.759386,-0.005712,-0.006659,-0.650581,0.759353,0.009080,-0.019330,-0.650328,0.698555,0.006805,0.001485,-0.715522,0.698553,0.007089,0.001195,-0.715523,0.613524,0.006909,0.001985,-0.789643,0.611079,0.074824,0.054765,-0.786121,0.613470,-0.006454,-0.008397,-0.789647,0.613268,-0.017010,0.005194,-0.789675,0.674278,0.053000,0.051553,-0.734767,0.674231,0.053670,0.052167,-0.734718,0.668653,0.101836,-0.000604,-0.736568,0.501405,0.099748,0.020523,-0.859199,0.424735,0.513994,0.267262,-0.695688,0.406349,0.528649,0.242568,-0.704678,0.434854,0.538136,0.220725,-0.687453,0.437590,0.529467,0.215250,-0.694152,0.671917,0.080074,0.076396,-0.732311,0.674514,0.053988,0.104703,-0.728802,0.762282,0.066951,0.096929,-0.636434,0.603859,0.384770,0.475209,-0.511354,0.609083,0.376446,0.482182,-0.504784,0.579090,0.348135,0.503004,-0.538928,0.603727,0.320506,0.473151,-0.555804,0.674278,0.053000,0.051553,-0.734767,0.674278,0.053000,0.051553,-0.734767
0.709760,0.055483,0.048871,-0.700552,0.724593,0.006692,-0.002532,-0.689140,0.724622,0.001700,0.002216,-0.689141,0.759412,0.001813,0.002125,-0.650604,0.757138,0.050336,0.058763,-0.648656,0.759386,-0.005712,-0.006659,-0.650581,0.759353,0.009080,-0.019330,-0.650328,0.698555,0.006805,0.001485,-0.715522,0.698553,0.007089,0.001195,-0.715523,0.613524,0.006909,0.001985,-0.789643,0.611079,0.074824,0.054765,-0.786121,0.613470,-0.006454,-0.008397,-0.789647,0.613268,-0.017010,0.005194,-0.789675,0.674278,0.053000,0.051553,-0.734767,0.674231,0.053670,0.052167,-0.734718,0.668653,0.101836,-0.000604,-0.736568,0.501405,0.099748,0.020523,-0.859199,0.424735,0.513994,0.267262,-0.695688,0.406349,0.528649,0.242568,-0.704678,0.434854,0.538136,0.220725,-0.687453,0.437590,0.529467,0.215250,-0.694152,0.671917,0.080074,0.076396,-0.732311,0.674514,0.053988,0.104703,-0.728802,0.762282,0.066951,0.096929,-0.636434,0.603859,0.384770,0.475209,-0.511354,0.609083,0.376446,0.482182,-0.504784,0.579090,0.348135,0.503004,-0.538928,0.603727,0.320506,0.473151,-0.555804,0.674278,0.053000,0.051553,-0.734767,0.674278,0.053000,0.051553,-0.734767
0.709760,0.055483,0.048871,-0.700552,0.724593,0.006692,-0.002532,-0.689140,0.724622,0.001700,0.002216,-0.689141,0.759412,0.001813,0.002125,-0.650604,0.757138,0.050336,0.058763,-0.648656,0.759386,-0.005712,-0.006659,-0.650581,0.759353,0.009080,-0.019330,-0.650328,0.698555,0.006805,0.001485,-0.715522,0.698553,0.007089,0.001195,-0.715523,0.613524,0.006909,0.001985,-0.789643,0.611079,0.074824,0.054765,-0.786121,0.613470,-0.006454,-0.008397,-0.789647,0.613268,-0.017010,0.005194,-0.789675,0.674278,0.053000,0.051553,-0.734767,0.674231,0.053670,0.052167,-0.734718,0.668653,0.101836,-0.000604,-0.736568,0.501405,0.099748,0.020523,-0.859199,0.424735,0.513994,0.267262,-0.695688,0.406349,0.528649,0.242568,-0.704678,0.434854,0.538136,0.220725,-0.687453,0.437590,0.529467,0.215250,-0.694152,0.671917,0.080074,0.076396,-0.732311,0.674514,0.053988,0.104703,-0.728802,0.762282,0.066951,0.096929,-0.636434,0.603859,0.384770,0.475209,-0.511354,0.609083,0.376446,0.482182,-0.504784,0.579090,0.348135,0.503004,-0.538928,0.603727,0.320506,0.473151,-0.555804,0.674278,0.053000,0.051553,-0.734767,0.674278,0.053000,0.051553,-0.734767
0.709760,0.055483,0.048871,-0.700552,0.724593,0.006692,-0.002532,-0.689140,0.724622,0.001700,0.002216,-0.689141,0.759412,0.001813,0.002125,-0.650604,0.757138,0.050336,0.058763,-0.648656,0.759386,-0.005712,-0.006659,-0.650581,0.759353,0.009080,-0.019330,-0.650328,0.698555,0.006805,0.001485,-0.715522,0.698553,0.007089,0.001195,-0.715523,0.613524,0.006909,0.001985,-0.789643,0.611079,0.074824,0.054765,-0.786121,0.613470,-0.006454,-0.008397,-0.789647,0.613268,-0.017010,0.005194,-0.789675,0.674278,0.053000,0.051553,-0.734767,0.674231,0.053670,0.052167,-0.734718,0.668653,0.101836,-0.000604,-0.736568,0.501405,0.099748,0.020523,-0.859199,0.424735,0.513994,0.267262,-0.695688,0.406349,0.528649,0.242568,-0.704678,0.434854,0.538136,0.220725,-0.687453,0.437590,0.529467,0.215250,-0.694152,0.671917,0.080074,0.076396,-0.732311,0.674514,0.053988,0.104703,-0.728802,0.762282,0.066951,0.096929,-0.636434,0.603859,0.384770,0.475209,-0.511354,0.609083,0.376446,0.482182,-0.504784,0.579090,0.348135,0.503004,-0.538928,0.603727,0.320506,0.473151,-0.555804,0.674278,0.053000,0.051553,-0.734767,0.674278,0.053000,0.051553,-0.734767
0.709760,0.055483,0.048871,-0.700552,0.724593,0.006692,-0.002532,-0.689140,0.724622,0.001700,0.002216,-0.689141,0.759412,0.001813,0.002125,-0.650604,0.757138,0.050336,0.058763,-0.648656,0.759386,-0.005712,-0.006659,-0.650581,0.759353,0.009080,-0.019330,-0.650328,0.698555,0.006805,0.001485,-0.715522,0.698553,0.007089,0.001195,-0.715523,0.613524,0.006909,0.001985,-0.789643,0.611079,0.074824,0.054765,-0.786121,0.613470,-0.006454,-0.008397,-0.789647,0.613268,-0.017010,0.005194,-0.789675,0.674278,0.053000,0.051553,-0.734767,0.674231,0.053670,0.052167,-0.734718,0.668653,0.101836,-0.000604,-0.736568,0.501405,0.099748,0.020523,-0.859199,0.424735,0.513994,0.267262,-0.695688,0.406349,0.528649,0.242568,-0.704678,0.434854,0.538136,0.220725,-0.687453,0.437590,0.529467,0.215250,-0.694152,0.671917,0.080074,0.076396,-0.732311,0.674514,0.053988,0.104703,-0.728802,0.762282,0.066951,0.096929,-0.636434,0.603859,0.384770,0.475209,-0.511354,0.609083,0.376446,0.482182,-0.504784,0.579090,0.348135,0.503004,-0.538928,0.603727,0.320506,0.473151,-0.555804,0.674278,0.053000,0.051553,-0.734767,0.674278,0.053000,0.051553,-0.734767
0.709760,0.055483,0.048871,-0.700552,0.724593,0.006692,-0.002532,-0.689140,0.724622,0.001700,0.002216,-0.689141,0.759412,0.001813,0.002125,-0.650604,0.757138,0.050336,0.058763,-0.648656,0.759386,-0.005712,-0.006659,-0.650581,0.759353,0.009080,-0.019330,-0.650328,0.698555,0.006805,0.001485,-0.715522,0.698553,0.007089,0.001195,-0.715523,0.613524,0.006909,0.001985,-0.789643,0.611079,0.074824,0.054765,-0.786121,0.613470,-0.006454,-0.008397,-0.789647,0.613268,-0.017010,0.005194,-0.789675,0.674278,0.053000,0.051553,-0.734767,0.674231,0.053670,0.052167,-0.734718,0.668653,0.101836,-0.000604,-0.736568,0.501405,0.099748,0.020523,-0.859199,0.424735,0.513994,0.267262,-0.695688,0.406349,0.528649,0.242568,-0.704678,0.434854,0.538136,0.220725,-0.687453,0.437590,0.529467,0.215250,-0.694152,0.671917,0.080074,0.076396,-0.732311,0.674514,0.053988,0.104703,-0.728802,0.762282,0.066951,0.096929,-0.636434,0.603859,0.384770,0.475209,-0.511354,0.609083,0.376446,0.482182,-0.504784,0.579090,0.348135,0.503004,-0.538928,0.603727,0.320506,0.473151,-0.555804,0.674278,0.053000,0.051553,-0.734767,0.674278,0.053000,0.051553,-0.734767
0.709760,0.055483,0.048871,-0.700552,0.724593,0.006692,-0.002532,-0.689140,0.724622,0.001700,0.002216,-0.689141,0.759412,0.001813,0.002125,-0.650604,0.757138,0.050336,0.058763,-0.648656,0.759386,-0.005712,-0.006659,-0.650581,0.759353,0.009080,-0.019330,-0.650328,0.698555,0.006805,0.001485,-0.715522,0.698553,0.007089,0.001195,-0.715523,0.613524,0.006909,0.001985,-0.789643,0.611079,0.074824,0.054765,-0.786121,0.613470,-0.006454,-0.008397,-0.789647,0.613268,-0.017010,0.005194,-0.789675,0.674278,0.053000,0.051553,-0.734767,0.674231,0.053670,0.052167,-0.734718,0.668653,0.101836,-0.000604,-0.736568,0.501405,0.099748,0.020523,-0.859199,0.424735,0.513994,0.267262,-0.695688,0.406349,0.528649,0.242568,-0.704678,0.434854,0.538136,0.220725,-0.687453,0.437590,0.529467,0.215250,-0.694152,0.671917,0.080074,0.076396,-0.732311,0.674514,0.053988,0.104703,-0.728802,0.762282,0.066951,0.096929,-0.636434,0.603859,0.384770,0.475209,-0.511354,0.609083,0.376446,0.482182,-0.504784,0.579090,0.348135,0.503004,-0.538928,0.603727,0.320506,0.473151,-0.555804,0.674278,0.053000,0.051553,-0.734767,0.674278,0.053000,0.051553,-0.734767
0.709760,0.055483,0.048871,-0.700552,0.724593,0.006692,-0.002532,-0.689140,0.724622,0.001700,0.002216,-0.689141,0.759412,0.001813,0.002125,-0.650604,0.757138,0.050336,0.058763,-0.648656,0.759386,-0.005712,-0.006659,-0.650581,0.759353,0.009080,-0.019330,-0.650328,0.698555,0.006805,0.001485,-0.715522,0.698553,0.007089,0.001195,-0.715523,0.613524,0.006909,0.001985,-0.789643,0.611079,0.074824,0.054765,-0.786121,0.613470,-0.006454,-0.008397,-0.789647,0.613268,-0.017010,0.005194,-0.789675,0.674278,0.053000,0.051553,-0.734767,0.674231,0.053670,0.052167,-0.734718,0.668653,0.101836,-0.000604,-0.736568,0.501405,0.099748,0.020523,-0.859199,0.424735,0.513994,0.267262,-0.695688,0.406349,0.528649,0.242568,-0.704678,0.434854,0.538136,0.220725,-0.687453,0.437590,0.529467,0.215250,-0.694152,0.671917,0.080074,0.076396,-0.732311,0.674514,0.053988,0.104703,-0.728802,0.762282,0.066951,0.096929,-0.636434,0.603859,0.384770,0.475209,-0.511354,0.609083,0.376446,0.482182,-0.504784,0.579090,0.348135,0.503004,-0.538928,0.603727,0.320506,0.473151,-0.555804,0.674278,0.053000,0.051553,-0.734767,0.674278,0.053000,0.051553,-0.734767
