left_wrist_roll_joint,right_wrist_roll_joint,left_wrist_pitch_joint,right_wrist_pitch_joint,left_wrist_yaw_joint,right_wrist_yaw_joint
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190863997,-0.007200000,0.052469000,-0.038513999,-0.185038000,0.014248000
-0.190859392,-0.007200000,0.052467003,-0.038513198,-0.185038000,0.014247600
